"color","group","name","model","category","crystal symmetry","image caption","cleavage","crystal system","optical properties","strunz classification","unit cell","formula","streak","diaphaneity","mohs scale hardness","luster","image filename","refractive index","crystal habit","specific gravity"
"Blue to blue-green","Silicates","Aerinite","Mineral","Inosilicate",,"Aerinite from Spain",,,"Biaxial (-)","09.DB.45","a = 14.690(15) \u00c5, b = 16.872(15) \u00c5, c = 5.170(15) \u00c5, Z = 2","Ca<sub>4</sub>(Al,Fe,Mg)<sub>10</sub>Si<sub>12</sub>O<sub>35</sub>(OH)<sub>12</sub>CO<sub>3</sub>\u00b7<sub>12</sub>H<sub>2</sub>O","bluish white","translucent","3","vitreous","240px-Aerinite2.jpg","n\u03b11.510(5), n\u03b2 = 1.560(5), n\u03b3 = 1.580","fibrous","2.48"
,"Oxides","Aeschynite-(Y)","Mineral","Oxide",,"A fine, well-terminated, complete all-around aeschynite-(Y) crystal from Iveland, Norway",,,,"04.DF.05",,"(Y,Ca,Fe,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>",,,,,"240px-Aeschynite-%28Y%29-180743.jpg",,,
"light blue, dark blue","Silicates","Afghanite","Mineral","Tectosilicates","TrigonalSpace group: P 31c","Afghanite on marble, Sar-e-Sang, Badakhshan, Afghanistan. Size: 3.4 x 3.1 x 2.6 cm.","Perfect {1010}","Hexagonal","Uniaxial (+)","09.FB.05","a = 12.77 \u00c5, c = 21.35 \u00c5; Z=3","(Na,K)<sub>22</sub>Ca<sub>10</sub>[Si<sub>24</sub>Al<sub>24</sub>O<sub>96</sub>](SO<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>","white","Transparent","5\u00bd - 6","Vitreous","240px-Afghanite-t06-330c.jpg","n\u03c9 = 1.523 n\u03b5 = 1.529","Lath shaped crystals, rounded grains","2.55 - 2.65"
"Colorless, white","Silicates","Afwillite","Mineral","Nesosilicates","Monoclinic sphenoidalH-M symbol: (2)Space group: P 21","Afwillite from Crestmore Quarry, Riverside County, California","Perfect along , good along ","Monoclinic","Biaxial (+)","09.AG.75","a = 16.278(1) \u00c5, b = 5.6321(4) \u00c5, c = 13.236(1) \u00c5; \u03b2 = 134.9\u00b0; Z=4","Ca<sub>3</sub>(SiO<sub>3</sub>OH)<sub>2</sub>\u00b7<sub>2</sub>H<sub>2</sub>O","White","Transparent to translucent","3\u20134","Vitreous","240px-Afwillite_2_on_rock_Hydrous_calcium_silicate_Crestmore_Quarry_Riverside_California_2068.jpg","n\u03b1 = 1.617 n\u03b2 = 1.620 n\u03b3 = 1.634","Prismatic (striated), tabular, radial fibrous, massive","2.630"
"Yellow green","Arsenates","Agardite-(Y), Agardite-(Ce), Agardite-(Nd), Agardite-(La)","Mineral","Arsenate","Hexagonal \u2013 dipyramidal, H-M symbol (6/m), space group P63/m","An example of Agardite-(Ce) in the form of pistachio-green acicular crystals on contrasting matrix","None",,,"08.DL.15","a = 13.59 \u00c5, c = 5.89 \u00c5, Z = 2","(REE,Ca)Cu<sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>\u00b7<sub>3</sub>H<sub>2</sub>O","Greenish white",,"3\u20134","Vitreous","240px-Agardite-%28Ce%29-174233.jpg","n\u03c9 = 1.725, n\u03b5 = 1.81","Acicular","3.7 (measured), 3.775 (calculated)"
"White, grayish-white, greenish-white","Silicates","Agrellite","Mineral","Inosilicates",,"","perfect ","Triclinic","biaxial","09.DH.75",,"NaCa<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F","white","translucent","5.5","pearly","240px-Museo_di_mineralogia%2C_pietre_fluorescenti%2C_agrellite_3.JPG","n\u03b1 = 1.567 n\u03b2 = 1.579 n\u03b3 = 1.581","Lath - shaped like a small, thin plaster lath, rectangular in shape","2.88"
"Bright lead-gray on fresh surfaces; dull iron-black on exposure to air.","Sulfosalts","Aguilarite","Mineral","Sulfosalt","Space group: P21/n","Aguilarite - San Carlos Mine, La Luz, Guanajuato municipality, Mexico. Specimen height is 3.9 cm.","None observed","Monoclinic",,"2.BA.55","a=4.2478(2) \u00c5, b=6.9432(3) \u00c5c=8.0042(5) \u00c5, \u03b2=100.103(2)\u00baZ=4","Ag<sub>4</sub>SeS","Gray-black","Opaque","2.5 1\u20131.5","Metallic","240px-Aguilarite_-_San_Carlos_Mine%2C_La_Luz%2C_Guanajuato%2C_Mexico.jpg",,,
"Very pale blue, pale green, to blue-green","Phosphates","Aheylite","Mineral","Phosphate","Triclinic pedial 1 or 1","Size: 3.5\u00d72.3\u00d70.8 cm. Translucent ~0.2 cm spheres of aheylite are perched on dark cassiterite, together with elongated quartz crystals.","Perfect {001}, {010} good","Triclinic","Biaxial (+)","08.DD.15","a = 7.885 \u00c5, b = 10.199 \u00c5, c = 7.672 \u00c5; \u03b1 = 110.84\u00b0, \u03b2 = 115.12\u00b0, \u03b3 = 67.51\u00b0; Z = 1","(Fe<sub>2</sub>+,Zn)Al<sub>6</sub>(OH)<sub>8</sub>(PO<sub>4</sub>)<sub>4</sub>\u00b7<sub>4</sub>(H<sub>2</sub>O)","White to greenish white","Transparent in thin flakes","5 to 5.5","Porcelaneous to subvitreous","240px-Aheylite-Cassiterite-177845.jpg","~1.63","Interlocked crystals in felted and matted aggregates forming botryoidal, spherulitic masses; radiating, prismatic groups","2.84"
"Lead gray, grayish black, reddish brown","Sulfides","Aikinite","Mineral","Sulfide","Orthorhombic \u2013 dipyramidal, H-M symbol (2/m 2/m 2/m), space group Pbnm","","{010} indistinct",,,"02.HB.05a","a = 11.297 \u00c5, b = 11.654 \u00c5, c = 4.061 \u00c5, Z = 4","<sub>575</sub>.<sub>92</sub> g","Grayish black","Opaque","2-2.5","Metallic","240px-Aikinite_-_Beresowsk%2C_Ural.JPG",,"Acicular, massive","6.1\u20136.8, Average = 6.44"
"Bluish green","Silicates","Ajoite","Mineral","Silicate","Triclinic 1 or 1","Ajoite from Arizona (size: 2.4\u00d72.4\u00d72.0 cm)","Perfect on {010}","Triclinic","Biaxial (+)","09.EA.708/D.07-10","a = 13.63 \u00c5, b = 14.5 \u00c5, c = 13.62 \u00c5; \u03b1 = 107.16\u00b0, \u03b2 = 105.45\u00b0, \u03b3 = 110.57\u00b0","(Na,K)Cu<sub>7</sub>AlSi<sub>9</sub>O<sub>24</sub>(OH)<sub>6</sub>\u00b7<sub>3</sub>(H<sub>2</sub>O)","Greenish white","Translucent","3\u00bd","Vitreous","240px-Ajoite-275005.jpg","n\u03b1 = 1.550, n\u03b2 = 1.583, n\u03b3 = 1.641","Sprays of bladed prismatic crystals","2.96"
"Yellowish brown, rusty brown","Oxides","Akaganeite","Mineral","Oxide","2/m - Prismatic","A piece of the mineral akaganeite. Exhibit of the ""Earth and Man"" Museum in Sofia, Bulgaria. Discovered in Kaskasnyunchorr, Khibiny Massif, Kola Peninsula, Russia",,"Monoclinic",,"04.DK.05","a = 10.561\u00c5, b = 3.031\u00c5, c = 10.483\u00c5\u03b2 = 90.63\u00b0","Fe<sub>3</sub>+O(OH,Cl)","Brownish yellow","Transparent, translucent",,"Earthy","240px-Earth-and-Man--Akaganeite.jpg",,,"3.52"
"Colorless, yellowish gray, green, brown","Silicates","\u00c5kermanite","Mineral","Sorosilicates","Tetragonal scalenohedralH-M symbol: (42m)Space group: P 421m","\u00c5kermanite (yellowish brown), calcite (blue), foshagite (hillebrandite variety, fibrous), tilleyite (creamy)","Distinct on {001}, poor on {110}","Tetragonal","Uniaxial (+)","09.BB.10","a = 7.8288(8) \u00c5, c = 5.0052(2) \u00c5; Z=2","Ca<sub>2</sub>Mg(Si<sub>2</sub>O<sub>7</sub>)","White","Transparent, translucent","5 - 6","Vitreous, resinous","240px-%C3%85kermanite%2C_Calcite%2C_Hillebrandite%2C_Tilleyite_-_Mineralogisches_Museum_Bonn1.jpg","n\u03c9 = 1.632 n\u03b5 = 1.640",,"2.944"
"black, steelgray, brownish-black","Sulfides","Alabandite","Mineral","Sulfide","Cubic 4/m 3 2/m","Group of octahedral alabandite crystals partially coated with pink rhodochrosite, from Uchucchacua Mine, Oyon, Lima, Peru (size: 60 mm x 59 mm x 46 mm, 204 g)","Perfect on {100}","Cubic hexoctahedral","Isotropic","02.CD.10II/C.15-30 (8 ed)","a = 5.2236 \u00c5; Z = 4","MnS","Green","Opaque, translucent in thin fragments","3.5 to 4","Sub-metallic","240px-2461M-alabandite1.jpg","n = 2.70","mostly massive or granular; cubic or octahedral crystals to 1 cm","4.053"
"Colorless","Silicates","Alamosite","Mineral","Inosilicates","Monoclinic \u2013 prismatic, H-M symbol (2/m), space group P2/n","Transparent crystals of alamosite in the matrix of leadhillite and melanotekite","{010} perfect",,"Biaxial (-)","09.DO.20 09","a = 11.209 \u00c5, b = 7.041 \u00c5, c = 12.22 \u00c5, Z = 12; \u03b2 = 113.15\u00b0","Pb<sub>12</sub>Si<sub>12</sub>O<sub>36</sub>","White","Transparent to translucent","4.5","Adamantine","Alamosite-Leadhillite-Melanotekite-ea6f.jpg","n\u03b1 = 1.947, n\u03b2 = 1.961, n\u03b3 = 1.968",,"6.49"
"White to gray, blueish, greenish, reddish; may be chatoyant","Silicates","Albite","Mineral","plagioclase, feldspar, tectosilicate","Triclinic H\u2013M Symbol 1","Albite from Crete, scale = 1 in.","Perfect on {001}, very good on {010}, imperfect on {110}","Triclinic Pinacoidal","Biaxial (+)",,"a = 8.16 \u00c5, b = 12.87 \u00c5, c = 7.11\u00a0\u00c5; \u03b1 = 93.45\u00b0, \u03b2 = 116.4\u00b0, \u03b3 = 90.28\u00b0; Z=4","NaAlSi<sub>3</sub>O<sub>8</sub> or Na<sub>1</sub>.<sub>0</sub>\u2013<sub>0</sub>.<sub>9</sub>Ca<sub>0</sub>.<sub>0</sub>\u2013<sub>0</sub>.<sub>1</sub>Al<sub>1</sub>.<sub>0</sub>\u2013<sub>1</sub>.<sub>1</sub>Si<sub>3</sub>.<sub>0</sub>\u2013<sub>2</sub>.<sub>9</sub>O<sub>8</sub>","White","Transparent to translucent","6 \u2013 6.5","Vitreous, typically pearly on cleavages","240px-Albite_-_Crete_%28Kriti%29_Island%2C_Greece.jpg","n\u03b1 = 1.528 \u2013 1.533 n\u03b2 = 1.532 \u2013 1.537 n\u03b3 = 1.538 \u2013 1.542","Crystals commonly tabular, divergent aggregates, granular, cleavable massive","2.60 - 2.65"
"Gray, silver white, steel gray, tarnishes dull bronze","Sulfides","Algodonite","Mineral","Sulfide","Hexagonal - dihexagonal dipyramidal, H-M symbol (6/m 2/m 2/m), space group P63/mmc","Algodonite - Houghton County, Michigan, USA",,,,"02.AA.10a","a = 2.6 \u00c5, c = 4.228 \u00c5, Z = 2","<sub>456</sub>.<sub>2</sub> g",,"Opaque","4","Metallic","240px-Algodonit_-_Houghton_County%2C_Michigan%2C_USA.jpg",,"Massive, granular. Common texture observed in granite and other igneous rock","8.38 (measured), 8.72 (calculated)"
"Colorless, pale yellow or green.","Silicates","Aliettite","Mineral","Phyllosilicates",,"Aliettite",,"Monoclinic",,"09.EC.60","a = 5.216 \u00c5, b = 24.6 \u00c5, Z = 1",,"White","Translucent","1\u20132","Earthy (dull)","240px-Aliettite-87733.jpg","1.558\u20131.567","Platy",
"Brown, dark to light purplish red, brownish red, colorless to white","Arsenates","Allactite","Mineral","Arsenate","Monoclinic, point group: 2/m, space group P21/a","Picture width 3 mm","Distinct, {001}",,"Biaxial (-)","08.BE.30","a = 11.03 \u00c5, b = 12.12 \u00c5, c = 5.51 \u00c5, \u03b2 = 114\u00b0, Z = 2","Mn<sub>7</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>8</sub>","Gray to faint brown",,"4.5","Vitreous, slightly greasy on fracture surfaces","240px-Allactite-116056.jpg","n\u03b1 = 1.755\u20131.761n\u03b2 = 1.772\u20131.786n\u03b3 = 1.774\u20131.787",,"3.83 (meas.), 3.94 (calc.)"
"Brown to black","Silicates","Allanite","Mineral","Sorosilicates","Monoclinic 2/m","Allanite from the Mt. Isa \u2013 Cloncurry area, Queensland, Australia (scale bar 1 inch)","Imperfect to poor","Monoclinic","Biaxial (-)","09.BG.05b","a = 8.927 \u00c5, b = 5.761 \u00c5, c = 10.15 \u00c5; \u03b2 = 114.77\u00b0; Z = 2","(Ce,Ca,Y,La)<sub>2</sub>(Al,Fe+<sub>3</sub>)<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>(OH)","Grey","Translucent to opaque","5.5\u20136","Vitreous, resinous to submetallic","240px-Allanite-%28Ce%29_-_Mary_Kathleen_Mine%2C_Mount_Isa%2C_Queensland%2C_Australia.jpg","n\u03b1 = 1.715\u20131.791, n\u03b2 = 1.718\u20131.815, n\u03b3 = 1.733\u20131.822","Crystals tabular, prismatic to acicular; granular, massive; commonly metamict","3.5 \u2013 4.2"
"Pale brownish yellow","Phosphates","Allanpringite","Mineral","Phosphate","Monoclinic \u2013 prismatic, H-M symbol (2/m), space group P21/n","Picture width 4 mm","{hk0} perfect, {010} good",,"Biaxial (+)","08.DC.50","a = 9.777 \u00c5, b = 7.358 \u00c5, c = 17.83 \u00c5, Z = 4; \u03b2 = 92.19\u00b0","<sub>498</sub>.<sub>07</sub> g","Pale yellowish white","Translucent to transparent","3","Vitreous","240px-Allanpringite-122708.jpg","n\u03b1 = 1.662n\u03b2 = 1.675n\u03b3 = 1.747","Acicular","2.54 (meas.), 2.583 (calc.)"
"Silver gray","Sulfides","Allargentum","Mineral","Sulfide","Hexagonal \u2013 dihexagonal dipyramidal, H-M symbol (6/m 2/m 2/m), space group P63/mmc","Allargentum on carbonate; size 3.2\u00d72.7\u00d71.4 cm",,,,"02.AA.30","a = 2.945 \u00c5, c = 4.77 \u00c5, Z = 2","Ag<sub>1</sub>-xSbx",,"Opaque","4","Metallic","240px-Allargentum-d32a.jpg",,,"10.0 (meas.), 10.12 (calc.)"
"Brown, bright pink, grayish pink, white","Silicates","Alleghanyite","Mineral","NesosilicatesHumite group","Monoclinic \u2013 prismatic, H-M symbol (2/m), space group P21/a","Alleghanyite crystals up to 2 mm in size in a mixed franklinite/calcite/willemite block of 11\u00d76.5\u00d74 cm size. Location: Sterling Mine, Sussex County, New Jersey, USA.","None",,"Biaxial (-)","09.AF.45","a = 10.46 \u00c5, b = 4.86 \u00c5, c = 8.3 \u00c5, Z = 2; beta = 109.133\u00b0","<sub>492</sub>.<sub>87</sub> g",,"Transparent to translucent","5\u20136","Vitreous","240px-Alleghanyite-21573.jpg","n\u03b1 = 1.756n\u03b2 = 1.78n\u03b3 = 1.792","Granular; anhedral to subhedral crystals in matrix","4 (meas.), 4.11 (calc.)"
"White, pale blue to sky-blue, green, brown","Silicates","Allophane","Mineral","PhyllosilicatesKaolinite-serpentine group",,"Allophane from Maid of Sunshine Mine, Courtland-Gleeson District, Cochise County, Arizona, USA","None","Amorphous",,"09.ED.20",,"Al<sub>2</sub>O<sub>3</sub>\u00b7(SiO<sub>2</sub>)<sub>1</sub>.<sub>3</sub>-<sub>2</sub>\u00b7(<sub>2</sub>.<sub>5</sub>-<sub>3</sub>)H<sub>2</sub>O","White","Transparent, translucent","3","Waxy","240px-Allophane-277529.jpg",,,
"Dirty yellow to brownish yellow, grayish green; superficially dull greenish black, brownish black, black, when altered","Phosphates","Alluaudite","Mineral","Phosphate","Monoclinic prismaticH-M symbol: (2/m)Space group: C 2/c","Alluaudite","Distinct/ good on {100} and {010}, good on {110}","Monoclinic","Biaxial (+)","08.AC.10","a = 11.03 \u00c5, b = 12.53 \u00c5, c = 6.4 \u00c5; \u03b2 = 97.57\u00b0","(Na,Ca)Mn<sub>2</sub>+(Fe<sub>3</sub>+,Mn<sub>2</sub>+,Fe<sub>2</sub>+,Mg)<sub>2</sub>(PO<sub>4</sub>)<sub>3</sub>","Brownish yellow","Translucent","5 - 5.5",,"240px-Alluaudite_2_Sodium_iron_manganese_phosphate_Pleasant_Valley_Mine_near_Fourmile_Custer_County_South_Dakota_2264Spp.jpg","n\u03b1 = 1.782 n\u03b2 = 1.802 n\u03b3 = 1.835","Platy to radiating fibrous, nodular, granular, massive","3.4 - 3.5"
"reddish orange to red, slightly purplish red to reddish purple and usually dark in tone","Silicates","Almandine","Mineral","Nesosilicate",,"","none",,"Single refractive, and often anomalous double refractive ","09.AD.25",,"Fe<sub>2</sub>+<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>","white",,"7 - 7.5","greasy to vitreous","300px-Almandin.jpg","1.790 (+/- .030) ",,"4.05 (+.25, -.12) "
,"Carbonates","Alstonite","Mineral","Carbonate","Triclinic Space group: P1 or P1","Alstonite crystals from Brownley Hill Mine, Alston Moor, Cumbria, England (size: 5.1 x 4.1 x 2.7 cm)","Imperfect on pseudo-orthorhombic {110}","Triclinic, pseudo-orthorhombic","Biaxial (-)","05.AB.35","a = 17.38 \u00c5, b = 14.40 \u00c5, c = 6.123 \u00c5; \u03b1 = 90.35\u00b0, \u03b2 = 90.12\u00b0, \u03b3 = 120.08\u00b0","<sub>297</sub>.<sub>42</sub> g","White","Transparent to translucent","4 to 4.5","Vitreous","240px-Alstonite-180078.jpg","n\u03b1 = 1.526 n\u03b2 = 1.671 n\u03b3 = 1.672","Steep pseudohexagonal dipyramids","3.70"
"tin white to yellowish white; tarnishing to bronze yellow","Other","Altaite","Mineral","Telluride",,"Silvery veins and flecks of altaite throughout the matrix from the Hilltop Mine, Organ District, Do\u00f1a Ana County, New Mexico (size: 3.5 x 2.9 x 1.9 cm)","perfect in three directions forming cubes","Isometric",,"02.CD.10",,"<sub>334</sub>.<sub>8</sub> g/mol","Black",,"2.5 - 3","metallic","240px-Altaite-170094.jpg",,"include cubic and octahedral crystals; but much more commonly found in massive and granular forms","8.2 - 8.3"
"Colorless, white","Sulfates","Alum-(K)","Mineral","Sulfate","Isometric diploidalH-M symbol: (2/m3)Space group: P a3","Octahedral crystal of potassium alum","On {111} indistinct","Cubic","Isotropic","07.CC.20","a = 12.133; Z = 4","KAl(SO<sub>4</sub>)<sub>2</sub>\u00b7<sub>12</sub>(H<sub>2</sub>O)",,"Transparent","2-2.5","Vitreous","240px-Potassium_alum_octahedral_like_crystal.jpg","n=1.453","Stalactitic, columnar, granular, massive efflorescences; rare as small octahedral crystals","1.757"
"White to grayish white","Sulfates","Aluminite","Mineral","Sulfate","Monoclinic prismaticH-M symbol: (2/m)Space group: P 21/c","Aluminite from Newhaven, Sussex, England","None","Monoclinic","Biaxial (+)","07.DC.05","a = 7.44 \u00c5, b = 15.583 \u00c5, c = 11.7 \u00c5; \u03b2 = 110.18\u00b0; Z=4","Al<sub>2</sub>SO<sub>4</sub>(OH)<sub>4</sub>\u00b7<sub>7</sub>H<sub>2</sub>O","White","Translucent, opaque if massive","1 - 2","Dull to earthy","240px-Aluminite_-_Newhaven%2C_Sussex%2C_England.jpg","n\u03b1 = 1.459 n\u03b2 = 1.464 n\u03b3 = 1.470","Needles and fibrous masses","1.66\u20131.82"
"Yellow, red, to reddish brown, colorless if pure; may be white, pale shades of gray,","Sulfates","Alunite","Mineral","Sulfate","Trigonal 3m or 32/m","Alunite from Utah - USGS","On {0001}, perfect","Trigonal","Uniaxial (+)","07.BC.10","a = 6.98 \u00c5, c = 17.32 \u00c5; Z=3","KAl<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>","White","Transparent to translucent","3.5 - 4","Vitreous, somewhat pearly on {0001} for crystals, earthy if massive","240px-Alunite_-_USGS_Mineral_Specimens_015.jpg","n\u03c9 = 1.572 n\u03b5 = 1.592","fibrous to columnar, porcelaneous, commonly granular to dense massive","2.6 - 2.9"
,"Sulfates","Alunogen","Mineral","Sulfate","Triclinic pinacoidalH-M symbol (1)Space group: P1","Alunogen","Perfect on {010}, probable on {100} and {313}","Triclinic","Biaxial (+)","07.CB.45","a = 7.42 \u00c5, b = 26.97 \u00c5, c = 6.062 \u00c5; \u03b1 = 89.95\u00b0, \u03b2 = 97.566\u00b0, \u03b3 = 91.888\u00b0; Z=2","Al<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>\u00b7<sub>17</sub>H<sub>2</sub>O",,"Transparent","1.5 -2","Vitreous to silky","240px-Alunogen_-_Almyras%2C_Agia_Varvara%2C_Cyprus.jpg","n\u03b1 = 1.473 n\u03b2 = 1.474 n\u03b3 = 1.480","Platy to prismatic crystals rare, fibrous masses, crusts, and efflorescences","1.72 - 1.77"
"Amaranth-red to brownish red, orange-red","Sulfates","Amarantite","Mineral","Sulfate","Triclinic pinacoidalH-M symbol: (1)Space group: P1","","Perfect on {010} and {100}","Triclinic","Biaxial (-)","07.DB.30","a = 8.9 \u00c5, b = 11.56 \u00c5,c = 6.64 \u00c5; \u03b1 = 95.55\u00b0,\u03b2 = 90.52\u00b0, \u03b3 = 97.42\u00b0; Z=2","Fe<sub>3</sub>+<sub>2</sub>O(SO<sub>4</sub>)<sub>2</sub>\u00b7<sub>7</sub>H<sub>2</sub>O","Lemon-yellow","Transparent","2\u00bd","Vitreous","240px-Amarantite_-_Javir-e-Sagand%2C_Yazd_Province%2C_Iran.jpg","n\u03b1 = 1.516 n\u03b2 = 1.598 n\u03b3 = 1.621","As radiating or matted aggregates of needles; may be columnar or bladed","2.189 - 2.286"
